id  ,pair       ,price     ,units               ,total_price         ,currency,unixtime     ,status,action,related,profit
6364,B-LRC_BTC  ,1.462e-05 ,6.839945280437757   ,0.0001              ,BTC     ,1612115400000,DONE  ,BUY   ,-1     ,N/A
6365,B-SNX_BTC  ,0.0005381 ,0.1858390633711206  ,0.0001              ,BTC     ,1612105500000,DONE  ,BUY   ,-1     ,N/A
6366,B-NANO_BTC ,0.0001052 ,0.9505703422053233  ,0.0001              ,BTC     ,1612106100000,DONE  ,BUY   ,-1     ,N/A
6367,B-SUSHI_BTC,0.0002944 ,0.33967391304347827 ,0.0001              ,BTC     ,1612068900000,DONE  ,BUY   ,6391   ,N/A
6368,B-ETC_BTC  ,0.0002228 ,0.44883303411131065 ,0.0001              ,BTC     ,1612134300000,DONE  ,BUY   ,-1     ,N/A
6369,B-NANO_BTC ,0.0001046 ,0.9560229445506693  ,0.0001              ,BTC     ,1612107300000,DONE  ,BUY   ,-1     ,N/A
6370,B-SC_BTC   ,1.8e-07   ,555.5555555555555   ,0.0001              ,BTC     ,1612061700000,DONE  ,BUY   ,6398   ,N/A
6371,B-VIB_BTC  ,8.4e-07   ,119.04761904761905  ,0.0001              ,BTC     ,1612128300000,DONE  ,BUY   ,6385   ,N/A
6372,B-XLM_ETH  ,0.00023249,43.01260269258893   ,0.01                ,ETH     ,1612105500000,DONE  ,BUY   ,-1     ,N/A
6373,B-BQX_ETH  ,0.0021304 ,4.878048780487805   ,0.0103921951219512  ,ETH     ,1612133400000,DONE  ,SELL  ,-1     ,3.921951219512179
6374,B-RUNE_BTC ,0.00011228,0.8906305664410403  ,0.0001              ,BTC     ,1612069800000,DONE  ,BUY   ,6406   ,N/A
6375,B-VIB_ETH  ,2.774e-05 ,467.50818139317437  ,0.0129686769518467  ,ETH     ,1612089300000,DONE  ,SELL  ,-1     ,29.686769518466573
6376,B-XMR_BTC  ,0.004053  ,0.02467308166790032 ,0.0001              ,BTC     ,1612095900000,DONE  ,BUY   ,6404   ,N/A
6377,B-TRX_ETH  ,2.395e-05 ,417.5365344467641   ,0.01                ,ETH     ,1612134900000,DONE  ,BUY   ,-1     ,N/A
6378,B-SUSHI_BTC,0.0002903 ,0.34447123665173957 ,0.0001              ,BTC     ,1612070100000,DONE  ,BUY   ,6391   ,N/A
6379,B-FTM_BTC  ,3.23e-06  ,30.959752321981426  ,0.0001              ,BTC     ,1612104900000,DONE  ,BUY   ,6384   ,N/A
6380,B-COMP_BTC ,0.009889  ,0.01074229240519927 ,0.000106230529595016,BTC     ,1612110300000,DONE  ,SELL  ,-1     ,6.230529595015587
6381,B-VIB_ETH  ,2.055e-05 ,486.61800486618     ,0.01                ,ETH     ,1612128600000,DONE  ,BUY   ,6389   ,N/A
6382,B-XRP_ETH  ,0.00028721,34.81772918770238   ,0.01                ,ETH     ,1612063200000,DONE  ,BUY   ,6390   ,N/A
